#OTUId,91.AVd_170,84.AVd_110,82.AVd_109,80.AVd_108,78.AVd_291,76.AVd_299,72.AVd_293,70.AVd_176,68.AVd_171,66.AVd_168,64.AVd_153,62.AVd_147,60.AVd_151,56.AVd_98,121.AVd_310,119.AVd_309,117.AVd_290,115.AVd_294,110.AVd_308,109.AVd_307,108.AVd_306,107.AVd_312
OTU_572,0.0,0.4767902123065851,0.14504578007433597,0.4974224473184408,0.5052631578947369,0.009821253191907287,0.0242306760358614,0.0,0.0,0.0,0.0,0.0,0.0,0.4263335316279992,0.03416078342063311,0.013550135501355014,0.0,0.0,0.011841326228537596,0.012040939193257074,0.0,0.1108278842956888
OTU_23,2.0649241930983164,0.0,0.0,0.0,0.0,0.0,0.0,1.8997546442341395,2.5072242053374127,4.4865864939870495,0.42800890258517377,2.0035149384885766,1.2218243100905835,0.0,0.42131632885447506,0.2981029810298103,2.4424091035248403,1.4212957479568873,0.3907637655417407,0.20469596628537026,0.14298713115819575,0.23273855702094648
OTU_14,5.70179518184355,0.0,0.009065361254645998,0.0,3.2842105263157895,3.0642309958750737,2.1565301671916646,1.5702769015071854,2.5922148563658,3.0296022201665127,0.15408320493066255,0.26362038664323373,0.2106593638087213,0.0,1.0589842860396266,0.8807588075880759,0.0,0.0,0.47365304914150386,0.45755568934376883,0.4419602235798778,1.0306993239499058
OTU_596,1.1161752395126034,0.0,0.0,0.0,0.17543859649122806,0.4910626595953644,0.3149987884661982,1.0865755345250614,0.38245792962774094,1.1100832562442182,0.0,0.0,0.0,0.0,0.17080391710316556,0.10840108401084012,0.0,0.0,0.10657193605683836,0.07224563515954245,0.038996490315871574,0.07757951900698215
OTU_19,0.2232350479025207,0.0,0.0,0.009044044496698924,3.0456140350877194,1.2865841681398547,0.7148049430579113,0.3505082369435682,0.04249532551419344,0.35846438482886217,0.29104605375791814,1.687170474516696,0.02106593638087213,0.0,0.5693463903438852,0.27100271002710025,0.0,0.0,0.3433984606275903,0.15653220951234195,0.11698947094761472,0.14407624958439544
OTU_156,0.11161752395126034,0.0,0.0,0.0,0.0,0.0,0.0,0.11216263582194182,0.0764915859255482,0.20814061054579094,0.0,0.0,0.0,0.0,0.11386927806877704,0.06775067750677506,0.0,0.0,0.047365304914150384,0.0,0.012998830105290524,0.09974509586611992
OTU_64,0.26044088921960745,0.035984166966534725,0.0,0.009044044496698924,0.0,0.0,0.0121153380179307,0.48370136698212407,16.029236783953767,0.01156336725254394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023682652457075192,0.012040939193257074,0.0,0.4433115371827552
OTU_39,0.8371314296344526,0.0,0.0,0.0,1.592982456140351,0.0,0.0,1.6684192078513844,0.9348971613122556,1.4454209065679926,0.0,0.01757469244288225,0.0,0.009914733293674401,0.2505124117513095,0.0,0.0,0.0,0.07104795737122557,0.1444912703190849,0.3249707526322631,0.0
OTU_439,0.0,0.10795250089960418,0.054392167527875984,0.04522022248349462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17846519928613921,0.011386927806877705,0.0,0.0,0.0,0.011841326228537596,0.012040939193257074,0.025997660210581048,0.0
OTU_118,0.2046321272439773,0.0,0.0,0.0,0.0,0.009821253191907287,0.0,0.3014370837714686,0.5269420363759987,0.13876040703052728,0.0,0.0,0.0,0.0,0.0,0.06775067750677506,0.0,0.0,0.0,0.13245033112582782,0.0,0.09974509586611992
OTU_1331,3.6740768300623197,0.008996041741633681,0.009065361254645998,0.0,0.0,0.0,0.0,3.0564318261479144,4.071052184259732,3.8506012950971322,0.0,0.0,0.0,0.0,0.614894101571396,2.046070460704607,0.0,0.0,0.6275902901124926,1.0596026490066226,0.8319251267385935,2.1943921090546383
OTU_35,2.0742256534275882,0.0,0.0,0.0,1.312280701754386,1.1785503830288744,0.7996123091834262,0.49071153172099546,0.9178990311065782,1.1216466234967624,0.01712035610340695,0.19332161687170474,0.14746155466610492,0.0,0.2846731951719426,0.3523035230352303,0.0,0.0,0.2605091770278271,0.10836845273931367,0.2599766021058105,0.3768148066053419
OTU_73,0.2418379685610641,0.0,0.0,0.0,0.0,0.009821253191907287,0.0,1.8647038205397828,3.9265680775114737,1.5148011100832564,0.1027221366204417,0.0351493848857645,0.0,0.0,0.0,0.0,0.0,0.0,0.011841326228537596,0.024081878386514148,0.0,0.0
OTU_13,0.0,0.0,0.0,0.01808808899339785,3.6280701754385967,2.3669220192496563,2.3140295614247637,0.028040658955485454,0.008499065102838687,0.01156336725254394,0.7190549563430919,1.8629173989455186,2.0433958289445964,0.019829466587348802,3.2111136415395127,4.119241192411924,0.0,0.0,2.060390763765542,2.0710415412402168,0.38996490315871574,1.0750304776681814
OTU_27,0.5766905404148451,0.0,0.0,0.01808808899339785,0.06315789473684211,0.5107051659791789,0.1696147322510298,1.289870311952331,0.38245792962774094,0.7978723404255319,0.18832391713747645,0.6151142355008787,0.4213187276174426,0.009914733293674401,0.14803006148941017,0.39295392953929537,0.0,0.0,0.24866785079928952,0.16857314870559903,0.2859742623163915,0.08866230743655104
OTU_57,0.35345549251232444,0.0,0.0,0.08139640047029031,0.3508771929824561,0.3830288744843842,0.3513448025199903,0.8131791097090781,0.6204317525072242,1.6766882516188715,0.0,0.12302284710017575,0.0,0.0,0.5579594625370076,0.46070460704607047,0.0,0.0,0.14209591474245115,0.13245033112582782,0.3119719225269726,0.554139421478444
